REGION,CROP_NAME,YEAR,VARIABLE,VALUE,UoM,SOURCE,CALCULATED_R,CALCULATED_C,CALCULATED_V,ZERO_AS_NULL,COHERENCE_APY,COHERENCE_CROP
ES511,Soft wheat,2020,Production,105715.0,t,NSI,,,,,Yes,Yes
ES511,Durum wheat,2020,Production,283.0,t,NSI,,,,,Yes,Yes
ES511,Total wheat,2020,Yield,4.576,t/ha,NSI,,,Yes,,Yes,Yes
ES511,Soft wheat,2020,Yield,4.575,t/ha,NSI,,,Yes,,Yes,Yes
ES511,Durum wheat,2020,Yield,4.965,t/ha,NSI,,,Yes,,Yes,Yes
ES512,Total wheat,2020,Area,10288.0,ha,NSI,,,,,Yes,Yes
ES512,Soft wheat,2020,Area,10274.0,ha,NSI,,,,,Yes,Yes
ES512,Durum wheat,2020,Area,14.0,ha,NSI,,,,,Yes,Yes
ES512,Total wheat,2020,Production,35368.0,t,NSI,,,,,Yes,Yes
ES512,Soft wheat,2020,Production,35333.0,t,NSI,,,,,Yes,Yes
ES512,Durum wheat,2020,Production,35.0,t,NSI,,,,,Yes,Yes
ES512,Total wheat,2020,Yield,3.438,t/ha,NSI,,,Yes,,Yes,Yes
ES512,Soft wheat,2020,Yield,3.439,t/ha,NSI,,,Yes,,Yes,Yes
ES512,Durum wheat,2020,Yield,2.5,t/ha,NSI,,,Yes,,Yes,Yes
ES513,Total wheat,2020,Area,50324.0,ha,NSI,,,,,Yes,Yes
ES513,Soft wheat,2020,Area,50161.0,ha,NSI,,,,,Yes,Yes
ES513,Durum wheat,2020,Area,163.0,ha,NSI,,,,,Yes,Yes
ES513,Total wheat,2020,Production,265706.0,t,NSI,,,,,Yes,Yes
ES513,Soft wheat,2020,Production,264988.0,t,NSI,,,,,Yes,Yes
ES513,Durum wheat,2020,Production,718.0,t,NSI,,,,,Yes,Yes
ES513,Total wheat,2020,Yield,5.28,t/ha,NSI,,,Yes,,Yes,Yes
ES513,Soft wheat,2020,Yield,5.283,t/ha,NSI,,,Yes,,Yes,Yes
ES513,Durum wheat,2020,Yield,4.405,t/ha,NSI,,,Yes,,Yes,Yes
ES514,Total wheat,2020,Area,6794.0,ha,NSI,,,,,Yes,Yes
ES514,Soft wheat,2020,Area,6767.0,ha,NSI,,,,,Yes,Yes
ES514,Durum wheat,2020,Area,27.0,ha,NSI,,,,,Yes,Yes
ES514,Total wheat,2020,Production,25746.0,t,NSI,,,,,Yes,Yes
ES514,Soft wheat,2020,Production,25654.0,t,NSI,,,,,Yes,Yes
ES514,Durum wheat,2020,Production,92.0,t,NSI,,,,,Yes,Yes
ES514,Total wheat,2020,Yield,3.79,t/ha,NSI,,,Yes,,Yes,Yes
ES514,Soft wheat,2020,Yield,3.791,t/ha,NSI,,,Yes,,Yes,Yes
ES514,Durum wheat,2020,Yield,3.407,t/ha,NSI,,,Yes,,Yes,Yes
ES521,Total wheat,2020,Area,1388.0,ha,NSI,,,,,Yes,Yes
ES521,Soft wheat,2020,Area,1317.0,ha,NSI,,,,,Yes,Yes
ES521,Durum wheat,2020,Area,71.0,ha,NSI,,,,,Yes,Yes
ES521,Total wheat,2020,Production,4803.0,t,NSI,,,,,Yes,Yes
ES521,Soft wheat,2020,Production,4508.0,t,NSI,,,,,Yes,Yes
ES521,Durum wheat,2020,Production,295.0,t,NSI,,,,,Yes,Yes
ES521,Total wheat,2020,Yield,3.46,t/ha,NSI,,,Yes,,Yes,Yes
ES521,Soft wheat,2020,Yield,3.423,t/ha,NSI,,,Yes,,Yes,Yes
ES521,Durum wheat,2020,Yield,4.155,t/ha,NSI,,,Yes,,Yes,Yes
ES522,Total wheat,2020,Area,795.0,ha,NSI,,,,,Yes,Yes
ES522,Soft wheat,2020,Area,765.0,ha,NSI,,,,,Yes,Yes
ES522,Durum wheat,2020,Area,30.0,ha,NSI,,,,,Yes,Yes
ES522,Total wheat,2020,Production,1741.0,t,NSI,,,,,Yes,Yes
ES522,Soft wheat,2020,Production,1671.0,t,NSI,,,,,Yes,Yes
ES522,Durum wheat,2020,Production,70.0,t,NSI,,,,,Yes,Yes
ES522,Total wheat,2020,Yield,2.19,t/ha,NSI,,,Yes,,Yes,Yes
ES522,Soft wheat,2020,Yield,2.184,t/ha,NSI,,,Yes,,Yes,Yes
ES522,Durum wheat,2020,Yield,2.333,t/ha,NSI,,,Yes,,Yes,Yes
ES523,Total wheat,2020,Area,2421.0,ha,NSI,,,,,Yes,Yes
ES523,Soft wheat,2020,Area,2326.0,ha,NSI,,,,,Yes,Yes
ES523,Durum wheat,2020,Area,95.0,ha,NSI,,,,,Yes,Yes
ES523,Total wheat,2020,Production,7252.0,t,NSI,,,,,Yes,Yes
ES523,Soft wheat,2020,Production,6959.0,t,NSI,,,,,Yes,Yes
ES523,Durum wheat,2020,Production,293.0,t,NSI,,,,,Yes,Yes
ES523,Total wheat,2020,Yield,2.995,t/ha,NSI,,,Yes,,Yes,Yes
ES523,Soft wheat,2020,Yield,2.992,t/ha,NSI,,,Yes,,Yes,Yes
ES523,Durum wheat,2020,Yield,3.084,t/ha,NSI,,,Yes,,Yes,Yes
ES611,Total wheat,2020,Area,2970.0,ha,NSI,,,,,Yes,Yes
ES611,Soft wheat,2020,Area,2901.0,ha,NSI,,,,,Yes,Yes
ES611,Durum wheat,2020,Area,69.0,ha,NSI,,,,,Yes,Yes
ES611,Total wheat,2020,Production,7100.0,t,NSI,,,,,Yes,Yes
ES611,Soft wheat,2020,Production,6965.0,t,NSI,,,,,Yes,Yes
ES611,Durum wheat,2020,Production,135.0,t,NSI,,,,,Yes,Yes
ES611,Total wheat,2020,Yield,2.391,t/ha,NSI,,,Yes,,Yes,Yes
ES611,Soft wheat,2020,Yield,2.401,t/ha,NSI,,,Yes,,Yes,Yes
ES611,Durum wheat,2020,Yield,1.957,t/ha,NSI,,,Yes,,Yes,Yes
ES612,Total wheat,2020,Area,59174.0,ha,NSI,,,,,Yes,Yes
ES612,Soft wheat,2020,Area,15732.0,ha,NSI,,,,,Yes,Yes
ES612,Durum wheat,2020,Area,43442.0,ha,NSI,,,,,Yes,Yes
ES612,Total wheat,2020,Production,153491.0,t,NSI,,,,,Yes,Yes
ES612,Soft wheat,2020,Production,47120.0,t,NSI,,,,,Yes,Yes
ES612,Durum wheat,2020,Production,106371.0,t,NSI,,,,,Yes,Yes
ES612,Total wheat,2020,Yield,2.594,t/ha,NSI,,,Yes,,Yes,Yes
ES612,Soft wheat,2020,Yield,2.995,t/ha,NSI,,,Yes,,Yes,Yes
ES612,Durum wheat,2020,Yield,2.449,t/ha,NSI,,,Yes,,Yes,Yes
ES613,Total wheat,2020,Area,57990.0,ha,NSI,,,,,Yes,Yes
ES613,Soft wheat,2020,Area,22076.0,ha,NSI,,,,,Yes,Yes
ES613,Durum wheat,2020,Area,35914.0,ha,NSI,,,,,Yes,Yes
ES613,Total wheat,2020,Production,214307.0,t,NSI,,,,,Yes,Yes
ES613,Soft wheat,2020,Production,81300.0,t,NSI,,,,,Yes,Yes
ES613,Durum wheat,2020,Production,133007.0,t,NSI,,,,,Yes,Yes
ES613,Total wheat,2020,Yield,3.696,t/ha,NSI,,,Yes,,Yes,Yes
ES613,Soft wheat,2020,Yield,3.683,t/ha,NSI,,,Yes,,Yes,Yes
ES613,Durum wheat,2020,Yield,3.703,t/ha,NSI,,,Yes,,Yes,Yes
ES614,Total wheat,2020,Area,13981.0,ha,NSI,,,,,Yes,Yes
ES614,Soft wheat,2020,Area,12310.0,ha,NSI,,,,,Yes,Yes
ES614,Durum wheat,2020,Area,1671.0,ha,NSI,,,,,Yes,Yes
ES614,Total wheat,2020,Production,33458.0,t,NSI,,,,,Yes,Yes
ES614,Soft wheat,2020,Production,29054.0,t,NSI,,,,,Yes,Yes
ES614,Durum wheat,2020,Production,4404.0,t,NSI,,,,,Yes,Yes
ES614,Total wheat,2020,Yield,2.393,t/ha,NSI,,,Yes,,Yes,Yes
ES614,Soft wheat,2020,Yield,2.36,t/ha,NSI,,,Yes,,Yes,Yes
ES614,Durum wheat,2020,Yield,2.636,t/ha,NSI,,,Yes,,Yes,Yes
ES615,Total wheat,2020,Area,14393.0,ha,NSI,,,,,Yes,Yes
ES615,Soft wheat,2020,Area,5196.0,ha,NSI,,,,,Yes,Yes
ES615,Durum wheat,2020,Area,9197.0,ha,NSI,,,,,Yes,Yes
ES615,Total wheat,2020,Production,45709.0,t,NSI,,,,,Yes,Yes
ES615,Soft wheat,2020,Production,18026.0,t,NSI,,,,,Yes,Yes
ES615,Durum wheat,2020,Production,27683.0,t,NSI,,,,,Yes,Yes
ES615,Total wheat,2020,Yield,3.176,t/ha,NSI,,,Yes,,Yes,Yes
ES615,Soft wheat,2020,Yield,3.469,t/ha,NSI,,,Yes,,Yes,Yes
ES615,Durum wheat,2020,Yield,3.01,t/ha,NSI,,,Yes,,Yes,Yes
ES616,Total wheat,2020,Area,6573.0,ha,NSI,,,,,Yes,Yes
ES616,Soft wheat,2020,Area,2384.0,ha,NSI,,,,,Yes,Yes
ES616,Durum wheat,2020,Area,4189.0,ha,NSI,,,,,Yes,Yes
ES616,Total wheat,2020,Production,23262.0,t,NSI,,,,,Yes,Yes
ES616,Soft wheat,2020,Production,8525.0,t,NSI,,,,,Yes,Yes
ES616,Durum wheat,2020,Production,14737.0,t,NSI,,,,,Yes,Yes
ES616,Total wheat,2020,Yield,3.539,t/ha,NSI,,,Yes,,Yes,Yes
ES616,Soft wheat,2020,Yield,3.576,t/ha,NSI,,,Yes,,Yes,Yes
ES616,Durum wheat,2020,Yield,3.518,t/ha,NSI,,,Yes,,Yes,Yes
ES617,Total wheat,2020,Area,18169.0,ha,NSI,,,,,Yes,Yes
ES617,Soft wheat,2020,Area,6219.0,ha,NSI,,,,,Yes,Yes
ES617,Durum wheat,2020,Area,11950.0,ha,NSI,,,,,Yes,Yes
ES617,Total wheat,2020,Production,47809.0,t,NSI,,,,,Yes,Yes
ES617,Soft wheat,2020,Production,15624.0,t,NSI,,,,,Yes,Yes
ES617,Durum wheat,2020,Production,32185.0,t,NSI,,,,,Yes,Yes
ES617,Total wheat,2020,Yield,2.631,t/ha,NSI,,,Yes,,Yes,Yes
ES617,Soft wheat,2020,Yield,2.512,t/ha,NSI,,,Yes,,Yes,Yes
ES617,Durum wheat,2020,Yield,2.693,t/ha,NSI,,,Yes,,Yes,Yes
ES618,Total wheat,2020,Area,140146.0,ha,NSI,,,,,Yes,Yes
ES618,Soft wheat,2020,Area,66663.0,ha,NSI,,,,,Yes,Yes
ES618,Durum wheat,2020,Area,73483.0,ha,NSI,,,,,Yes,Yes
ES618,Total wheat,2020,Production,501963.0,t,NSI,,,,,Yes,Yes
ES618,Soft wheat,2020,Production,246143.0,t,NSI,,,,,Yes,Yes
ES618,Durum wheat,2020,Production,255820.0,t,NSI,,,,,Yes,Yes
ES618,Total wheat,2020,Yield,3.582,t/ha,NSI,,,Yes,,Yes,Yes
ES618,Soft wheat,2020,Yield,3.692,t/ha,NSI,,,Yes,,Yes,Yes
ES618,Durum wheat,2020,Yield,3.481,t/ha,NSI,,,Yes,,Yes,Yes
ES620,Total wheat,2020,Area,8969.0,ha,NSI,,,,,Yes,Yes
ES620,Soft wheat,2020,Area,8821.0,ha,NSI,,,,,Yes,Yes
ES620,Durum wheat,2020,Area,148.0,ha,NSI,,,,,Yes,Yes
ES620,Total wheat,2020,Production,27108.0,t,NSI,,,,,Yes,Yes
ES620,Soft wheat,2020,Production,26777.0,t,NSI,,,,,Yes,Yes
ES620,Durum wheat,2020,Production,331.0,t,NSI,,,,,Yes,Yes
ES620,Total wheat,2020,Yield,3.022,t/ha,NSI,,,Yes,,Yes,Yes
ES620,Soft wheat,2020,Yield,3.036,t/ha,NSI,,,Yes,,Yes,Yes
ES620,Durum wheat,2020,Yield,2.236,t/ha,NSI,,,Yes,,Yes,Yes
FI193,Total wheat,2020,Area,1500.0,ha,Mixed,,,Yes,,Yes,Yes
FI193,Soft wheat,2020,Area,1500.0,ha,NSI,,Yes,,,Yes,Yes
FI193,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI193,Total wheat,2020,Production,4800.0,t,Mixed,,,Yes,,Yes,Yes
FI193,Soft wheat,2020,Production,4800.0,t,NSI,,Yes,,,Yes,Yes
FI193,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI193,Total wheat,2020,Yield,3.2,t/ha,Mixed,,,Yes,,Yes,Yes
FI193,Soft wheat,2020,Yield,3.2,t/ha,NSI,,Yes,,,Yes,Yes
FI193,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI194,Total wheat,2020,Area,11800.0,ha,Mixed,,,Yes,,Yes,Yes
FI194,Soft wheat,2020,Area,11800.0,ha,NSI,,Yes,,,Yes,Yes
FI194,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI194,Total wheat,2020,Production,42100.0,t,Mixed,,,Yes,,Yes,Yes
FI194,Soft wheat,2020,Production,42100.0,t,NSI,,Yes,,,Yes,Yes
FI194,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI194,Total wheat,2020,Yield,3.567,t/ha,Mixed,,,Yes,,Yes,Yes
FI194,Soft wheat,2020,Yield,3.568,t/ha,NSI,,Yes,,,Yes,Yes
FI194,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI195,Total wheat,2020,Area,5548.0,ha,Mixed,,,Yes,,Yes,Yes
FI195,Soft wheat,2020,Area,5548.0,ha,NSI,Yes,Yes,,,Yes,Yes
FI195,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI195,Total wheat,2020,Production,22922.0,t,Mixed,,,Yes,,Yes,Yes
FI195,Soft wheat,2020,Production,22922.0,t,NSI,Yes,Yes,,,Yes,Yes
FI195,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI195,Total wheat,2020,Yield,4.131,t/ha,Mixed,,,Yes,,Yes,Yes
FI195,Soft wheat,2020,Yield,4.132,t/ha,NSI,Yes,Yes,,,Yes,Yes
FI195,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI196,Total wheat,2020,Area,16600.0,ha,Mixed,,,Yes,,Yes,Yes
FI196,Soft wheat,2020,Area,16600.0,ha,NSI,,Yes,,,Yes,Yes
FI196,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI196,Total wheat,2020,Production,56300.0,t,Mixed,,,Yes,,Yes,Yes
FI196,Soft wheat,2020,Production,56300.0,t,NSI,,Yes,,,Yes,Yes
FI196,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI196,Total wheat,2020,Yield,3.391,t/ha,Mixed,,,Yes,,Yes,Yes
FI196,Soft wheat,2020,Yield,3.392,t/ha,NSI,,Yes,,,Yes,Yes
FI196,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI197,Total wheat,2020,Area,13600.0,ha,Mixed,,,Yes,,Yes,Yes
FI197,Soft wheat,2020,Area,13600.0,ha,NSI,,Yes,,,Yes,Yes
FI197,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI197,Total wheat,2020,Production,40700.0,t,Mixed,,,Yes,,Yes,Yes
FI197,Soft wheat,2020,Production,40700.0,t,NSI,,Yes,,,Yes,Yes
FI197,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI197,Total wheat,2020,Yield,2.992,t/ha,Mixed,,,Yes,,Yes,Yes
FI197,Soft wheat,2020,Yield,2.993,t/ha,NSI,,Yes,,,Yes,Yes
FI197,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1B1,Total wheat,2020,Area,39300.0,ha,Mixed,,,Yes,,Yes,Yes
FI1B1,Soft wheat,2020,Area,39300.0,ha,NSI,,Yes,,,Yes,Yes
FI1B1,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1B1,Total wheat,2020,Production,139300.0,t,Mixed,,,Yes,,Yes,Yes
FI1B1,Soft wheat,2020,Production,139300.0,t,NSI,,Yes,,,Yes,Yes
FI1B1,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1B1,Total wheat,2020,Yield,3.544,t/ha,Mixed,,,Yes,,Yes,Yes
FI1B1,Soft wheat,2020,Yield,3.545,t/ha,NSI,,Yes,,,Yes,Yes
FI1B1,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C1,Total wheat,2020,Area,63100.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C1,Soft wheat,2020,Area,63100.0,ha,NSI,,Yes,,,Yes,Yes
FI1C1,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C1,Total wheat,2020,Production,203100.0,t,Mixed,,,Yes,,Yes,Yes
FI1C1,Soft wheat,2020,Production,203100.0,t,NSI,,Yes,,,Yes,Yes
FI1C1,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1C1,Total wheat,2020,Yield,3.218,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C1,Soft wheat,2020,Yield,3.219,t/ha,NSI,,Yes,,,Yes,Yes
FI1C1,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C2,Total wheat,2020,Area,12567.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C2,Soft wheat,2020,Area,12567.0,ha,NSI,Yes,Yes,,,Yes,Yes
FI1C2,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C2,Total wheat,2020,Production,43424.0,t,Mixed,,,Yes,,Yes,Yes
FI1C2,Soft wheat,2020,Production,43424.0,t,NSI,Yes,Yes,,,Yes,Yes
FI1C2,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1C2,Total wheat,2020,Yield,3.455,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C2,Soft wheat,2020,Yield,3.455,t/ha,NSI,Yes,Yes,,,Yes,Yes
FI1C2,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C3,Total wheat,2020,Area,8733.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C3,Soft wheat,2020,Area,8733.0,ha,NSI,Yes,Yes,,,Yes,Yes
FI1C3,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C3,Total wheat,2020,Production,30176.0,t,Mixed,,,Yes,,Yes,Yes
FI1C3,Soft wheat,2020,Production,30176.0,t,NSI,Yes,Yes,,,Yes,Yes
FI1C3,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1C3,Total wheat,2020,Yield,3.455,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C3,Soft wheat,2020,Yield,3.455,t/ha,NSI,Yes,Yes,,,Yes,Yes
FI1C3,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C4,Total wheat,2020,Area,7245.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C4,Soft wheat,2020,Area,7245.0,ha,NSI,Yes,Yes,,,Yes,Yes
FI1C4,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C4,Total wheat,2020,Production,26325.0,t,Mixed,,,Yes,,Yes,Yes
FI1C4,Soft wheat,2020,Production,26325.0,t,NSI,Yes,Yes,,,Yes,Yes
FI1C4,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1C4,Total wheat,2020,Yield,3.633,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C4,Soft wheat,2020,Yield,3.634,t/ha,NSI,Yes,Yes,,,Yes,Yes
FI1C4,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C5,Total wheat,2020,Area,8855.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C5,Soft wheat,2020,Area,8855.0,ha,NSI,Yes,Yes,,,Yes,Yes
FI1C5,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1C5,Total wheat,2020,Production,32175.0,t,Mixed,,,Yes,,Yes,Yes
FI1C5,Soft wheat,2020,Production,32175.0,t,NSI,Yes,Yes,,,Yes,Yes
FI1C5,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1C5,Total wheat,2020,Yield,3.633,t/ha,Mixed,,,Yes,,Yes,Yes
FI1C5,Soft wheat,2020,Yield,3.634,t/ha,NSI,Yes,Yes,,,Yes,Yes
FI1C5,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D1,Total wheat,2020,Area,1200.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D1,Soft wheat,2020,Area,1200.0,ha,NSI,,Yes,,,Yes,Yes
FI1D1,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D1,Total wheat,2020,Production,4100.0,t,Mixed,,,Yes,,Yes,Yes
FI1D1,Soft wheat,2020,Production,4100.0,t,NSI,,Yes,,,Yes,Yes
FI1D1,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D1,Total wheat,2020,Yield,3.416,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D1,Soft wheat,2020,Yield,3.417,t/ha,NSI,,Yes,,,Yes,Yes
FI1D1,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D2,Total wheat,2020,Area,1400.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D2,Soft wheat,2020,Area,1400.0,ha,NSI,,Yes,,,Yes,Yes
FI1D2,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D2,Total wheat,2020,Production,4500.0,t,Mixed,,,Yes,,Yes,Yes
FI1D2,Soft wheat,2020,Production,4500.0,t,NSI,,Yes,,,Yes,Yes
FI1D2,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D2,Total wheat,2020,Yield,3.214,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D2,Soft wheat,2020,Yield,3.214,t/ha,NSI,,Yes,,,Yes,Yes
FI1D2,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D3,Total wheat,2020,Area,1300.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D3,Soft wheat,2020,Area,1300.0,ha,NSI,,Yes,,,Yes,Yes
FI1D3,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D3,Total wheat,2020,Production,3900.0,t,Mixed,,,Yes,,Yes,Yes
FI1D3,Soft wheat,2020,Production,3900.0,t,NSI,,Yes,,,Yes,Yes
FI1D3,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D3,Total wheat,2020,Yield,3.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D3,Soft wheat,2020,Yield,3.0,t/ha,NSI,,Yes,,,Yes,Yes
FI1D3,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D5,Total wheat,2020,Area,2052.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D5,Soft wheat,2020,Area,2052.0,ha,NSI,Yes,Yes,,,Yes,Yes
FI1D5,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D5,Total wheat,2020,Production,8478.0,t,Mixed,,,Yes,,Yes,Yes
FI1D5,Soft wheat,2020,Production,8478.0,t,NSI,Yes,Yes,,,Yes,Yes
FI1D5,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D5,Total wheat,2020,Yield,4.131,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D5,Soft wheat,2020,Yield,4.132,t/ha,NSI,Yes,Yes,,,Yes,Yes
FI1D5,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D7,Total wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D7,Soft wheat,2020,Area,0.0,ha,NSI,,Yes,,,Yes,Yes
FI1D7,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D7,Total wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D7,Soft wheat,2020,Production,0.0,t,NSI,,Yes,,,Yes,Yes
FI1D7,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D7,Total wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,
FI1D7,Soft wheat,2020,Yield,0.0,t/ha,NSI,,Yes,Yes,,Yes,
FI1D7,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,
FI1D8,Soft wheat,2020,Area,,ha,NSI,,Yes,,Yes,,
FI1D8,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,
FI1D8,Total wheat,2020,Production,52.177,t,Mixed,,,Yes,,,Yes
FI1D8,Soft wheat,2020,Production,52.177,t,NSI,,Yes,,,,Yes
FI1D8,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D8,Soft wheat,2020,Yield,,t/ha,NSI,,Yes,,,,
FI1D8,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,
FI1D9,Total wheat,2020,Area,2500.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D9,Soft wheat,2020,Area,2500.0,ha,NSI,,Yes,,,Yes,Yes
FI1D9,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI1D9,Total wheat,2020,Production,9847.823,t,Mixed,,,Yes,,Yes,Yes
FI1D9,Soft wheat,2020,Production,9847.823,t,NSI,,Yes,,,Yes,Yes
FI1D9,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI1D9,Total wheat,2020,Yield,3.939,t/ha,Mixed,,,Yes,,Yes,Yes
FI1D9,Soft wheat,2020,Yield,3.939,t/ha,NSI,,Yes,,,Yes,Yes
FI1D9,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FI200,Total wheat,2020,Area,1400.0,ha,Mixed,,,Yes,,Yes,Yes
FI200,Soft wheat,2020,Area,1400.0,ha,NSI,,Yes,,,Yes,Yes
FI200,Durum wheat,2020,Area,0.0,ha,Mixed,,,Yes,,Yes,Yes
FI200,Total wheat,2020,Production,5400.0,t,Mixed,,,Yes,,Yes,Yes
FI200,Soft wheat,2020,Production,5400.0,t,NSI,,Yes,,,Yes,Yes
FI200,Durum wheat,2020,Production,0.0,t,Mixed,,,Yes,,Yes,Yes
FI200,Total wheat,2020,Yield,3.857,t/ha,Mixed,,,Yes,,Yes,Yes
FI200,Soft wheat,2020,Yield,3.857,t/ha,NSI,,Yes,,,Yes,Yes
FI200,Durum wheat,2020,Yield,0.0,t/ha,Mixed,,,Yes,,Yes,Yes
FR102,Total wheat,2020,Area,116310.0,ha,NSI,,,Yes,,Yes,Yes
FR102,Soft wheat,2020,Area,115605.0,ha,NSI,,Yes,,,Yes,Yes
FR102,Durum wheat,2020,Area,705.0,ha,NSI,,Yes,,,Yes,Yes
FR102,Total wheat,2020,Production,895093.5,t,NSI,,,Yes,,Yes,Yes
FR102,Soft wheat,2020,Production,890158.5,t,NSI,,Yes,,,Yes,Yes
FR102,Durum wheat,2020,Production,4935.0,t,NSI,,Yes,,,Yes,Yes
